Energy Monitor Ho_a Ho_g2 Ho_g1 Ho_b1 bragg Ho_b2 fluotot
7.900000000000000000e+03 9.943680000000000000e+05 1.436662712970880592e-07 -1.107379593302121153e-24 -4.927738463664112148e-23 1.114005714970299982e-06 6.573521333872095340e+01 -3.516355829269418820e-07 1.402901139216062958e-03
7.901000000000000000e+03 9.840120000000000000e+05 1.742139033147679447e-07 -3.357101838487793667e-24 -5.609181965249478075e-23 1.051046483441281433e-06 6.656748325472885597e+01 -5.526346656894884991e-07 1.308927126904957773e-03
7.902000000000000000e+03 9.836020000000000000e+05 8.714326090663267857e-08 -4.123206084835274490e-24 -6.184938976927263407e-23 1.290650496100786312e-06 6.651947443668052529e+01 2.620096079198659276e-07 1.336922861075925993e-03
7.903000000000000000e+03 9.926850000000000000e+05 8.634590601679859651e-08 -1.662179020791358849e-24 -6.484592252797184249e-23 1.188786797297382065e-06 6.612547377714241748e+01 3.185054005010171303e-07 1.407294358230460176e-03
7.904000000000000000e+03 9.821960000000000000e+05 1.163573403737281319e-07 3.760006811264397509e-25 -6.877431160064176569e-23 9.589656206963460609e-07 6.623872251030165614e+01 1.560198331570823856e-08 1.366326069338506680e-03
7.905000000000000000e+03 9.916350000000000000e+05 1.152497786844093630e-07 -5.422322880065682858e-24 -8.109502184900432714e-23 1.013584234755683522e-06 6.576682073606991707e+01 -9.969002181130512473e-07 1.356345832892139492e-03
7.906000000000000000e+03 9.910980000000000000e+05 2.882805592527537190e-08 2.882805592527536859e-08 -8.673672145598504807e-23 1.231423692677120200e-06 6.575366739748051259e+01 -3.278665022817601105e-07 1.380287317702184012e-03
7.907000000000000000e+03 1.000425000000000000e+06 8.567787261842289089e-08 -3.302025133614595451e-24 -9.389577535254441284e-23 9.970359954128527161e-07 6.487590335288527399e+01 -4.132225228767179385e-07 1.337431591573577921e-03
7.908000000000000000e+03 9.897330000000000000e+05 2.886781442210027532e-08 -8.664318112064213433e-24 -1.077731081231330083e-22 1.408869588053737864e-06 6.523501548375297432e+01 -8.271136113552367465e-07 1.308433688681694259e-03
7.909000000000000000e+03 9.893370000000000000e+05 1.155174771445061480e-07 -1.028935737782768775e-23 -1.187026153579991853e-22 1.099295675164520570e-06 6.508644385485824557e+01 1.346040147957001070e-06 1.467649547120954785e-03
7.910000000000000000e+03 9.982350000000000000e+05 2.003536241466187905e-07 -2.433585771618720198e-24 -1.210128915724000508e-22 9.911447967188503926e-07 6.473076919322542722e+01 6.232499505056570202e-07 1.382440006611672986e-03
7.911000000000000000e+03 9.982980000000000000e+05 1.144805601991732693e-07 -3.037547857631346795e-24 -1.327231303775637091e-22 1.094436618399543230e-06 6.440907133438659571e+01 1.254417844438437111e-06 1.418414140867755831e-03
7.912000000000000000e+03 1.007156000000000000e+06 8.510527238509795833e-08 -3.197537685789551557e-24 -1.450153483626116667e-22 1.396961014357404873e-06 6.400190434102032100e+01 3.408070203218969074e-07 1.375159359622549985e-03
7.913000000000000000e+03 1.006827000000000000e+06 5.675538810824217383e-08 -7.640590912810994575e-24 -1.627100036007919003e-22 1.147652302961122802e-06 6.411280418214235510e+01 -1.551207908028068091e-06 1.326940973970708098e-03
7.914000000000000000e+03 1.005337000000000000e+06 8.525925705935991197e-08 -5.899439388667584832e-24 -1.754416311985584987e-22 1.377828319227283173e-06 6.397084644092024064e+01 -2.172538962187514080e-07 1.358748360002664081e-03
7.915000000000000000e+03 1.006142000000000000e+06 1.419850705538013902e-07 -2.852229233357825960e-24 -1.881993015878045246e-22 9.684309373840566045e-07 6.368597418835368273e+01 8.553698557350017417e-07 1.369587990561972092e-03
7.916000000000000000e+03 1.005176000000000000e+06 5.684860874399820766e-08 3.296530050106555642e-24 -1.993083741759037732e-22 1.021820384368983371e-06 6.381661192366727420e+01 -4.283034258900586479e-07 1.307233758068239134e-03
7.917000000000000000e+03 1.003721000000000000e+06 8.539652524385333867e-08 3.223670580267803663e-24 -2.182236666945316106e-22 7.049875686484739528e-07 6.387873341402801231e+01 -1.250562914570843752e-06 1.321084245522408758e-03
